id,parent,permalink,image_dir,image,title,brand,model,marca,modello,anno,prezzo,forma,bilanciamento,peso,livello,materiale,gomma,superficie,index,content
dropshot-power-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/power-1.0/,/images/wiki/racchette/,dropshot-power-1.0.jpg,Dropshot Power 1.0,Dropshot,Power 1.0,dropshot,power 1.0,2021,230,ibrida,,,avanzato,carbonio 24k,EVA soft,ruvida,,"modella della linea di potenza sviluppata dal brand spagnolo, ha una forma ibrida e una superficie ruvida, costruita interamente in carbonio al suo interno ha una gomma EVA soft. Incorpora le tecnologie di Twin Tubolar System e un antivibrazione integrato e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-imperium-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/imperium-1.0/,/images/wiki/racchette/,dropshot-imperium-1.0.jpg,Dropshot Imperium 1.0,Dropshot,Imperium 1.0,dropshot,imperium 1.0,2021,230,rotonda oversize,,,esperto,carbonio 24k,EVA soft,ruvida,,"racchetta dalla forma rotonda oversize ha un punto di impatto ottimale ampio, la superficie è ruvida ed è costruita con carbonio e fibra di cristalli in poliestere. In essa sono presenti le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-yukon-pro,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/yukon-pro/,/images/wiki/racchette/,dropshot-yukon-pro.jpg,Dropshot Yukon Pro,Dropshot,Yukon Pro,dropshot,yukon pro,2021,230,goccia,,,esperto,carbonio 24k,EVA soft,ruvida,,"versione più morbida del modello Essence ha la stessa forma a goccia, materiali in carbonio e poliestere, superficie ruvida ma con la gomma Eva soft. Come gli altri modelli della collezione incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-explorer-pro-3.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/explorer-pro-3.0/,/images/wiki/racchette/,dropshot-explorer-pro-3.0.jpg,Dropshot Explorer Pro 3.0,Dropshot,Explorer Pro 3.0,dropshot,explorer pro 3.0,2021,210,rotonda,,,intermedio,carbonio 12k,EVA tech e soft,ruvida,,"racchetta rotonda indicata per giocatori di controllo, è costruita in carbonio 12k e riempita con gomma EVA Tech ed ha un piatto ruvido. Anch’essa incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-explorer-pro-soft,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/explorer-pro-soft/,/images/wiki/racchette/,dropshot-explorer-pro-soft.jpg,Dropshot Explorer Pro Soft,Dropshot,Explorer Pro Soft,dropshot,explorer pro soft,2021,210,rotonda,,,intermedio,carbonio 12k,EVA soft,liscia,,"molto simile al modello explorer pro ha la stoffa forma rotonda e il carbonio 12k con la differenza della gomma EVA Soft. Incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-delta-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/delta-1.0/,/images/wiki/racchette/,dropshot-delta-1.0.jpg,Dropshot Delta 1.0,Dropshot,Delta 1.0,dropshot,delta 1.0,2021,170,rotonda oversize,,,intermedio,carbonio 3k,EVA soft,ruvida,,"rispetto al modello Delta dell’anno passato ha un protettore di urti in testa e ricerca le prestazioni di una racchetta top di gamma, grazie al suo carbonio 3k e alla gomma EVA Soft, inoltre è presente la tecnologia Twin Tubolar System e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-allegra,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/allegra/,/images/wiki/racchette/,dropshot-allegra.jpg,Dropshot Allegra,Dropshot,Allegra,dropshot,allegra,2021,170,goccia,,,intermedio post-infortunio,carbonio 3k,EVA pro,liscia,,"racchetta dalla forma a goccia ideale per giocatori che hanno sofferto di problemi al braccio quali epicondilite o altri infortuni, grazie ad uno strato di sughero situato tra il carbonio e la gomma EVA riduce al massimo le vibrazioni. ha un sistema di antivibrazioni e la tecnologia Twin Tubolar System e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-cristal-2.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/cristal-2.0/,/images/wiki/racchette/,dropshot-cristal-2.0.jpg,Dropshot Cristal 2.0,Dropshot,Cristal 2.0,dropshot,cristal 2.0,2021,170,goccia,,,intermedio,carbonio 3k,EVA soft,liscia,,"Racchetta molto leggera, costruita con un carbonio 3k ha al suo interno una gomma EVA Soft, il piatto è ruvido e la forma è a goccia. Incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-taipan,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/taipan/,/images/wiki/racchette/,dropshot-taipan.jpg,Dropshot Taipan,Dropshot,Taipan,dropshot,taipan,2021,170,goccia,,,intermedio,carbonio 3k,EVA pro,liscia,,"modello simile alla conqueror 6.0, quindi forma a goccia e bilanciamento alto, ideale per giocatori di attacco alla ricerca di colpi potenti e di chiusura, è costruita in carbonio 3k e al suo interno ha una gomma EVA Soft. Incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-explorer-4.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/explorer-4.0/,/images/wiki/racchette/,dropshot-explorer-4.0.jpg,Dropshot Explorer 4.0,Dropshot,Explorer 4.0,dropshot,explorer 4.0,2021,170,goccia,,,intermedio,carbonio 3k,EVA pro,ruvida,,"simile ai modelli explorer degli anni passati questa racchetta dalla forma a goccia e dal piatto ruvido è ideale per giocatori intermedi, che intendono sviluppare un gioco offensivo, senza rinunciare a una gomma EVA Pro. Al suo interno ha un sistema di antivibrazione e il Twin Tubolar System e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-sakura-3.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/sakura-3.0/,/images/wiki/racchette/,dropshot-sakura-3.0.jpg,Dropshot Sakura 3.0,Dropshot,Sakura 3.0,dropshot,sakura 3.0,2021,80,goccia,,,principiante/intermedio,fibra di vetro,EVA soft,liscia,,"racchetta dalla forma a goccia ma con un ampio punto di impatto ottimale è adatta ai giocatori di livello principiante/intermedio, è costruita in fibra di vetro e al suo interno ha una gomma EVA Soft. Incorpora la tecnologia di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-kibo-2.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/kibo-2.0/,/images/wiki/racchette/,dropshot-kibo-2.0.jpg,Dropshot Kibo 2.0,Dropshot,Kibo 2.0,dropshot,kibo 2.0,2021,70,rotonda,,,principiante,fibra di vetro,EVA,liscia,,"racchetta tonda dal punto di impatto ottimale molto ampio, ideale per giocatori di livello principiante o alle prime armi con questo sport, è costruita in fibra di vetro e al suo interno ha una gomma Full EVA. Incorpora la tecnologia di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-conqueror-9.0-jr,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/conqueror-9.0-jr/,/images/wiki/racchette/,dropshot-conqueror-9.0-jr.jpg,Dropshot Conqueror 9.0 Jr,Dropshot,Conqueror 9.0 Jr,dropshot,conqueror 9.0 jr,2021,62,goccia,,,junior,fibra di vetro,EVA soft,liscia,,"versione da bambino/ragazzo del modello top di casa della marca, la pala di Juan Martin Diaz, adatta anche alle donne per il suo peso ridotto ma anche per il suo look da top di gamma. È costruita in fibra di vetro con una gomma EVA Soft e Incorpora la tecnologia di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-tiger-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/tiger-1.0/,/images/wiki/racchette/,dropshot-tiger-1.0.jpg,Dropshot Tiger 1.0,Dropshot,Tiger 1.0,dropshot,tiger 1.0,2021,55,rotonda,,,baby,fibra di vetro,full EVA,liscia,,"acchetta raccomandata per i bambini fino ai 9 anni, ha una forma rotonda, è costruita in fibra di vetro e ha al suo interno una gomma Full EVA."
head-graphene-alpha-pro,/wiki/racchette/head/,/wiki/racchette/head/graphene-alpha-pro/,/images/wiki/racchette/,head-graphene-alpha-pro.jpg,Head Graphene Alpha Pro,Head,Graphene Alpha Pro,head,Graphene Alpha pro,2021,290,diamante,alto,,avanzato,grafene,Power Foam,liscia,,
head-graphene-apha-motion,/wiki/racchette/head/,/wiki/racchette/head/graphene-apha-motion/,/images/wiki/racchette/,head-graphene-apha-motion.jpg,Head Graphene Apha Motion,Head,Graphene Apha Motion,head,graphene apha motion,2021,240,diamante,medio,,avanzato,grafene,Power Foam,liscia,,
head-graphene-alpha-elite,/wiki/racchette/head/,/wiki/racchette/head/graphene-alpha-elite/,/images/wiki/racchette/,head-graphene-alpha-elite.jpg,Head Graphene Alpha Elite,Head,Graphene Alpha Elite,head,graphene alpha elite,2021,200,diamante,medio,,intermedio/avanzato,grafene,Power Foam,liscia,,
head-delta-hybrid,/wiki/racchette/head/,/wiki/racchette/head/delta-hybrid/,/images/wiki/racchette/,head-delta-hybrid.jpg,Head Delta Hybrid,Head,Delta Hybrid,head,delta hybrid,2021,300,ibrida,,,avanzato,grafene,Power Foam,ruvida,,
head-delta-motion,/wiki/racchette/head/,/wiki/racchette/head/delta-motion/,/images/wiki/racchette/,head-delta-motion.jpg,Head Delta Motion,Head,Delta Motion,head,delta motion,2021,220,ibrida ,,,avanzato,grafene,Power Foam,ruvida,,
head-delta-elite,/wiki/racchette/head/,/wiki/racchette/head/delta-elite/,/images/wiki/racchette/,head-delta-elite.jpg,Head Delta Elite,Head,Delta Elite,head,delta elite,2021,200,ibrida,,,intermedio/avanzato,grafene,Power Foam,ruvida,,
head-gamma-pro,/wiki/racchette/head/,/wiki/racchette/head/gamma-pro/,/images/wiki/racchette/,head-gamma-pro.jpg,Head Gamma Pro,Head,Gamma Pro,head,gamma pro,2021,210,ibrida,,,avanzato/avanzato,grafene,Power Foam,liscia,,
head-gamma-motion,/wiki/racchette/head/,/wiki/racchette/head/gamma-motion/,/images/wiki/racchette/,head-gamma-motion.jpg,Head Gamma Motion,Head,Gamma Motion,head,gamma motion,2021,190,ibrida,,,intermedio/avanzato,grafene,Power Foam,liscia,,
head-graphene-zephyr,/wiki/racchette/head/,/wiki/racchette/head/graphene-zephyr/,/images/wiki/racchette/,head-graphene-zephyr.jpg,Head Graphene Zephyr,Head,Graphene Zephyr,head,graphene zephyr ,2021,170,goccia,,,intermedio/avanzato,grafene,comfort foam,liscia,,
head-graphene-zephyr-pro,/wiki/racchette/head/,/wiki/racchette/head/graphene-zephyr-pro/,/images/wiki/racchette/,head-graphene-zephyr-pro.jpg,Head Graphene Zephyr Pro,Head,Graphene Zephyr Pro,head,graphene zephyr pro,2021,190,goccia,,,avanzato,grafene,comfort foam,liscia,,
head-graphene-zephyr-ul,/wiki/racchette/head/,/wiki/racchette/head/graphene-zephyr-ul/,/images/wiki/racchette/,head-graphene-zephyr-ul.jpg,Head Graphene Zephyr Ul,Head,Graphene Zephyr Ul,head,graphene zephyr ul,2021,125,goccia,,340,principiante/intermedio,grafene,comfort foam,liscia,,
head-flash-pro,/wiki/racchette/head/,/wiki/racchette/head/flash-pro/,/images/wiki/racchette/,head-flash-pro.jpg,Head Flash Pro,Head,Flash Pro,head,flash pro,2021,140,ibrida,,,principiante,fibra di vetro,gommapiuma,liscia,,
nox-nerbo-2021-wpt,/wiki/racchette/nox/,/wiki/racchette/nox/nerbo-2021-wpt/,/images/wiki/racchette/,nox-nerbo-2021-wpt.jpg,Nox Nerbo 2021 Wpt,Nox,Nerbo 2021 Wpt,nox,nerbo 2021 wpt,2021,330,diamante,,360-375,avanzato,carbonio 18k,EVA Black,ruvida,,
nox-tempo-2021-wpt,/wiki/racchette/nox/,/wiki/racchette/nox/tempo-2021-wpt/,/images/wiki/racchette/,nox-tempo-2021-wpt.jpg,Nox Tempo 2021 Wpt,Nox,Tempo 2021 Wpt,nox,tempo 2021 wpt,2021,330,goccia,,360-375,avanzato,carbonio 12k,EVA black,ruvida,,
nox-nexo-wpt-2021-wpt,/wiki/racchette/nox/,/wiki/racchette/nox/nexo-wpt-2021-wpt/,/images/wiki/racchette/,nox-nexo-wpt-2021-wpt.jpg,Nox Nexo Wpt 2021 Wpt,Nox,Nexo Wpt 2021 Wpt,nox,nexo wpt 2021 wpt,2021,330,rotonda,,360-375,avanzato,carbonio 12k,EVA black,ruvida,,
nox-emotion-wpt-2020,/wiki/racchette/nox/,/wiki/racchette/nox/emotion-wpt-2020/,/images/wiki/racchette/,nox-emotion-wpt-2020.jpg,Nox Emotion Wpt 2020,Nox,Emotion Wpt 2020,nox,emotion wpt 2020,2021,175,rotonda oversize,,360-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-attraction-wpt-2020,/wiki/racchette/nox/,/wiki/racchette/nox/attraction-wpt-2020/,/images/wiki/racchette/,nox-attraction-wpt-2020.jpg,Nox Attraction Wpt 2020,Nox,Attraction Wpt 2020,nox,attraction wpt 2020,2021,175,diamante,,360-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-equation-wpt-2020,/wiki/racchette/nox/,/wiki/racchette/nox/equation-wpt-2020/,/images/wiki/racchette/,nox-equation-wpt-2020.jpg,Nox Equation Wpt 2020,Nox,Equation Wpt 2020,nox,equation wpt 2020,2021,175,rotonda,,360-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-equation-lady-wpt-2021,/wiki/racchette/nox/,/wiki/racchette/nox/equation-lady-wpt-2021/,/images/wiki/racchette/,nox-equation-lady-wpt-2021.jpg,Nox Equation Lady Wpt 2021,Nox,Equation Lady Wpt 2021,nox,equation lady wpt 2021,2021,175,rotonda,,360-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-at10-genius-luxury-series,/wiki/racchette/nox/,/wiki/racchette/nox/at10-genius-luxury-series/,/images/wiki/racchette/,nox-at10-genius-luxury-series.jpg,Nox At10 Genius Luxury Series,Nox,At10 Genius Luxury Series,nox,AT10 genius luxury series,2021,288,goccia,,360-375,avanzato,carbonio 12k,HR3,ruvida,,
nox-at10-genius-arena-luxury-series,/wiki/racchette/nox/,/wiki/racchette/nox/at10-genius-arena-luxury-series/,/images/wiki/racchette/,nox-at10-genius-arena-luxury-series.jpg,Nox At10 Genius Arena Luxury Series,Nox,At10 Genius Arena Luxury Series,nox,AT10 genius arena luxury series,2021,288,goccia,,360-375,avanzato,carbonio 12k,HR3,ruvida,,
nox-ml10-shotgun-luxury-series,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-shotgun-luxury-series/,/images/wiki/racchette/,nox-ml10-shotgun-luxury-series.jpg,Nox Ml10 Shotgun Luxury Series,Nox,Ml10 Shotgun Luxury Series,nox,ML10 shotgun luxury series,2021,288,goccia,,360-375,avanzato,carbonio 12k,HR3,ruvida,,
nox-ml10-bahia-luxury-series,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-bahia-luxury-series/,/images/wiki/racchette/,nox-ml10-bahia-luxury-series.jpg,Nox Ml10 Bahia Luxury Series,Nox,Ml10 Bahia Luxury Series,nox,ML10 bahia luxury series,2021,288,goccia,,360-375,avanzato,carbonio 12k,HR3,ruvida,,
nox-ml10-perto-luxury-series,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-perto-luxury-series/,/images/wiki/racchette/,nox-ml10-perto-luxury-series.jpg,Nox Ml10 Perto Luxury Series,Nox,Ml10 Perto Luxury Series,nox,ML10 perto luxury series,2021,288,rotonda,,360-375,avanzato,carbonio 12k,HR3,ruvida,,
nox-ml10-by-majo-sánchez-alayeto,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-by-majo-sánchez-alayeto/,/images/wiki/racchette/,nox-ml10-by-majo-sánchez-alayeto.jpg,Nox Ml10 By Majo Sánchez Alayeto,Nox,Ml10 By Majo Sánchez Alayeto,nox,ML10 by majo sánchez alayeto,2021,288,diamante,,360-375,avanzato,carbonio 12k,EVA Black,ruvida,,
nox-ml10-by-mapi-sánchez-alayeto,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-by-mapi-sánchez-alayeto/,/images/wiki/racchette/,nox-ml10-by-mapi-sánchez-alayeto.jpg,Nox Ml10 By Mapi Sánchez Alayeto,Nox,Ml10 By Mapi Sánchez Alayeto,nox,ML10 by mapi sánchez alayeto,2021,288,rotonda,,350-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-titanium-carbon-3k,/wiki/racchette/nox/,/wiki/racchette/nox/titanium-carbon-3k/,/images/wiki/racchette/,nox-titanium-carbon-3k.jpg,Nox Titanium Carbon 3K,Nox,Titanium Carbon 3K,nox,titanium carbon 3k,2021,288,diamante,,360-375,avanzato,carbonio 3k,HR3,ruvida,,
nox-titanium-carbon-18k,/wiki/racchette/nox/,/wiki/racchette/nox/titanium-carbon-18k/,/images/wiki/racchette/,nox-titanium-carbon-18k.jpg,Nox Titanium Carbon 18K,Nox,Titanium Carbon 18K,nox,titanium carbon 18k,2021,288,diamante,,360-375,avanzato,carbonio 18k,HR3,liscia,,
nox-ml10-pro-cup-balck-edition-arena,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup-balck-edition-arena/,/images/wiki/racchette/,nox-ml10-pro-cup-balck-edition-arena.jpg,Nox Ml10 Pro Cup Balck Edition Arena,Nox,Ml10 Pro Cup Balck Edition Arena,nox,ML10 pro cup balck edition arena,2021,220,rotonda,,360-375,intermedio/avanzato,fibra di vetro,HR3,ruvida,,
nox-ml10-pro-cup,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup/,/images/wiki/racchette/,nox-ml10-pro-cup.jpg,Nox Ml10 Pro Cup,Nox,Ml10 Pro Cup,nox,ML10 pro cup  ,2021,220,rotonda,,360-375,intermedio/avanzato,fibra di vetro,HR3,liscia,,
nox-ml10-pro-cup-black-edition,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup-black-edition/,/images/wiki/racchette/,nox-ml10-pro-cup-black-edition.jpg,Nox Ml10 Pro Cup Black Edition,Nox,Ml10 Pro Cup Black Edition,nox,ML10 pro cup black edition,2021,220,rotonda,,360-375,intermedio/avanzato,fibra di vetro,HR3,liscia,,
nox-ml10-pro-cup-silver,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup-silver/,/images/wiki/racchette/,nox-ml10-pro-cup-silver.jpg,Nox Ml10 Pro Cup Silver,Nox,Ml10 Pro Cup Silver,nox,ML10 pro cup silver,2021,220,rotonda,,350-365,intermedio/avanzato,carbonio 3k,HR3,liscia,,
nox-ml10-pro-cup-survivor,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup-survivor/,/images/wiki/racchette/,nox-ml10-pro-cup-survivor.jpg,Nox Ml10 Pro Cup Survivor,Nox,Ml10 Pro Cup Survivor,nox,ML10 pro cup survivor ,2021,220,rotonda,,360-375,intermedio/avanzato,fibra di vetro,HR3,liscia,,
nox-ml10-pro-cup-survivor-grey,/wiki/racchette/nox/,/wiki/racchette/nox/ml10-pro-cup-survivor-grey/,/images/wiki/racchette/,nox-ml10-pro-cup-survivor-grey.jpg,Nox Ml10 Pro Cup Survivor Grey,Nox,Ml10 Pro Cup Survivor Grey,nox,ML10 pro cup survivor grey,2021,220,rotonda,,360-375,intermedio/avanzato,carbonio 3k,HR3,liscia,,
prince-falcon,/wiki/racchette/prince/,/wiki/racchette/prince/falcon/,/images/wiki/racchette/,prince-falcon.jpg,Prince Falcon,Prince,Falcon,prince,falcon,2021,290,diamante,medio/alto,355-370,avanzato,carbonio 24k,Black EVA,ruvida,,
prince-jet,/wiki/racchette/prince/,/wiki/racchette/prince/jet/,/images/wiki/racchette/,prince-jet.jpg,Prince Jet,Prince,Jet,prince,jet,2021,280,diamante,alto,365-375,avanzato,carbonio ,black EVA,ruvida,,
prince-mach,/wiki/racchette/prince/,/wiki/racchette/prince/mach/,/images/wiki/racchette/,prince-mach.jpg,Prince Mach,Prince,Mach,prince,mach,2021,260,diamante,medio,360-370,avanzato,carbonio,EVA super soft,ruvida,,
prince-phantom-v2,/wiki/racchette/prince/,/wiki/racchette/prince/phantom-v2/,/images/wiki/racchette/,prince-phantom-v2.jpg,Prince Phantom V2,Prince,Phantom V2,prince,phantom v2,2021,260,rotonda,medio,360-370,avanzato,carbonio,,ruvida,,
prince-premier-v2,/wiki/racchette/prince/,/wiki/racchette/prince/premier-v2/,/images/wiki/racchette/,prince-premier-v2.jpg,Prince Premier V2,Prince,Premier V2,prince,premier v2,2021,250,rotonda,,365-375,avanzato,carbonio,,ruvida,,
prince-tour-di-legend,/wiki/racchette/prince/,/wiki/racchette/prince/tour-di-legend/,/images/wiki/racchette/,prince-tour-di-legend.jpg,Prince Tour Di Legend,Prince,Tour Di Legend,prince,tour di legend,2021,230,ruvida,,365-375,intermedio/avanzato,carbonio,,ruvida,,
prince-quartz,/wiki/racchette/prince/,/wiki/racchette/prince/quartz/,/images/wiki/racchette/,prince-quartz.jpg,Prince Quartz,Prince,Quartz,prince,quartz,2021,210,rotonda,medio/alto,350-360,intermedio/avanzato,carbonio,EVA super soft,ruvida,,
prince-rocket,/wiki/racchette/prince/,/wiki/racchette/prince/rocket/,/images/wiki/racchette/,prince-rocket.jpg,Prince Rocket,Prince,Rocket,prince,rocket,2021,180,goccia,,335-350,intermedio/avanzato,carbonio,EVA balance,ruvida,,
prince-armor,/wiki/racchette/prince/,/wiki/racchette/prince/armor/,/images/wiki/racchette/,prince-armor.jpg,Prince Armor,Prince,Armor,prince,armor,2021,190,diamante,medio/alto,350-360,intermedio/avanzato,carbonio,EVA super soft,ruvida,,
prince-harrier,/wiki/racchette/prince/,/wiki/racchette/prince/harrier/,/images/wiki/racchette/,prince-harrier.jpg,Prince Harrier,Prince,Harrier,prince,harrier,2021,120,goccia,medio,350-365,principiante/intermedio,carbonio,,liscia,,
prince-raptor,/wiki/racchette/prince/,/wiki/racchette/prince/raptor/,/images/wiki/racchette/,prince-raptor.jpg,Prince Raptor,Prince,Raptor,prince,raptor,2021,120,rotonda,medio,360-375,principiante/intermedio,carbonio,,liscia,,
prince-princess-ultralight,/wiki/racchette/prince/,/wiki/racchette/prince/princess-ultralight/,/images/wiki/racchette/,prince-princess-ultralight.jpg,Prince Princess Ultralight,Prince,Princess Ultralight,prince,princess ultralight,2021,65,rotonda,,300-330,junior,,,liscia,,
prince-tour-ultralight,/wiki/racchette/prince/,/wiki/racchette/prince/tour-ultralight/,/images/wiki/racchette/,prince-tour-ultralight.jpg,Prince Tour Ultralight,Prince,Tour Ultralight,prince,tour ultralight,2021,65,rotonda,,300-330,junior,,,liscia,,
starvie-metheora,/wiki/racchette/starvie/,/wiki/racchette/starvie/metheora/,/images/wiki/racchette/,starvie-metheora.jpg,Starvie Metheora,Starvie,Metheora,starvie,metheora,2021,365,rotonda,alto,350-385,avanzato,carbonio,EVA soft,ruvida,,
starvie-triton-pro,/wiki/racchette/starvie/,/wiki/racchette/starvie/triton-pro/,/images/wiki/racchette/,starvie-triton-pro.jpg,Starvie Triton Pro,Starvie,Triton Pro,starvie,triton pro,2021,310,goccia,alto,350-385,avanzato,carbonio,EVA soft pro,ruvida,,
starvie-triton,/wiki/racchette/starvie/,/wiki/racchette/starvie/triton/,/images/wiki/racchette/,starvie-triton.jpg,Starvie Triton,Starvie,Triton,starvie,triton,2021,310,goccia,alto,350-385,avanzato,carbonio,EVA soft,ruvida,,
starvie-raptor,/wiki/racchette/starvie/,/wiki/racchette/starvie/raptor/,/images/wiki/racchette/,starvie-raptor.jpg,Starvie Raptor,Starvie,Raptor,starvie,raptor,2021,300,rotonda,,350-385,avanzato,carbonio,EVA soft,ruvida,,
starvie-basalto-osiris,/wiki/racchette/starvie/,/wiki/racchette/starvie/basalto-osiris/,/images/wiki/racchette/,starvie-basalto-osiris.jpg,Starvie Basalto Osiris,Starvie,Basalto Osiris,starvie,basalto osiris,2021,275,goccia,alto,350-385,avanzato,carbonio,EVA soft,ruvida,,
starvie-dronos-galaxy,/wiki/racchette/starvie/,/wiki/racchette/starvie/dronos-galaxy/,/images/wiki/racchette/,starvie-dronos-galaxy.jpg,Starvie Dronos Galaxy,Starvie,Dronos Galaxy,starvie,dronos galaxy,2021,250,goccia,alto,350-385,avanzato,carbonio,EVA soft densa,ruvida,,
starvie-kraken-pro,/wiki/racchette/starvie/,/wiki/racchette/starvie/kraken-pro/,/images/wiki/racchette/,starvie-kraken-pro.jpg,Starvie Kraken Pro,Starvie,Kraken Pro,starvie,kraken pro,2021,220,goccia,alto,350-385,intermedio/avanzato,carbonio,EVA,liscia,,
starvie-kraken,/wiki/racchette/starvie/,/wiki/racchette/starvie/kraken/,/images/wiki/racchette/,starvie-kraken.jpg,Starvie Kraken,Starvie,Kraken,starvie,kraken,2021,220,goccia,alto,350-385,intermedio/avanzato,carbonio,EVA soft,liscia,,
starvie-aquila-space-pro,/wiki/racchette/starvie/,/wiki/racchette/starvie/aquila-space-pro/,/images/wiki/racchette/,starvie-aquila-space-pro.jpg,Starvie Aquila Space Pro,Starvie,Aquila Space Pro,starvie,aquila space pro,2021,205,goccia,alto,350-385,intermedio/avanzato,carbonio,EVA,ruvida,,
starvie-aquila-space,/wiki/racchette/starvie/,/wiki/racchette/starvie/aquila-space/,/images/wiki/racchette/,starvie-aquila-space.jpg,Starvie Aquila Space,Starvie,Aquila Space,starvie,aquila space,2021,205,goccia,alto,350-385,intermedio/avanzato,carbonio,EVA soft,ruvida,,
starvie-titania-kepler-pro,/wiki/racchette/starvie/,/wiki/racchette/starvie/titania-kepler-pro/,/images/wiki/racchette/,starvie-titania-kepler-pro.jpg,Starvie Titania Kepler Pro,Starvie,Titania Kepler Pro,starvie,titania kepler pro,2021,190,rotonda,medio,350-385,intermedio,carbonio,EVA,liscia,,
starvie-titania-kepler,/wiki/racchette/starvie/,/wiki/racchette/starvie/titania-kepler/,/images/wiki/racchette/,starvie-titania-kepler.jpg,Starvie Titania Kepler,Starvie,Titania Kepler,starvie,titania kepler,2021,190,rotonda,medio,350-385,intermedio,carbonio,EVA soft,liscia,,
vibor-a-king-cobra-black-1k,/wiki/racchette/vibor-a/,/wiki/racchette/vibor-a/king-cobra-black-1k/,/images/wiki/racchette/,vibor-a-king-cobra-black-1k.jpg,Vibor-A King Cobra Black 1K,Vibor-A,King Cobra Black 1K,vibor-a,king cobra black 1k,2021,435,diamante,,360-370,avanzato,carbonio 6k,EVA black soft,ruvida,,
vibor-a-king-cobra,/wiki/racchette/vibor-a/,/wiki/racchette/vibor-a/king-cobra/,/images/wiki/racchette/,vibor-a-king-cobra.jpg,Vibor-A King Cobra,Vibor-A,King Cobra,vibor-a,king cobra ,2019,420,diamante,,360-370,avanzato,carbonio+,EVA black soft,ruvida,,
vibor-a-diva,/wiki/racchette/vibor-a/,/wiki/racchette/vibor-a/diva/,/images/wiki/racchette/,vibor-a-diva.jpg,Vibor-A Diva,Vibor-A,Diva,vibor-a,diva,2021,400,rotonda,,360-370,avanzato,carbonio 6k,EVA black soft,liscia,,
vibor-a-yarara-edition-black-series-1k,/wiki/racchette/vibor-a/,/wiki/racchette/vibor-a/yarara-edition-black-series-1k/,/images/wiki/racchette/,vibor-a-yarara-edition-black-series-1k.jpg,Vibor-A Yarara Edition Black Series 1K,Vibor-A,Yarara Edition Black Series 1K,vibor-a,yarara edition black series 1k,2021,375,goccia invertita,medio/alto,360-370,avanzato,carbonio 6k,EVA black soft,ruvida,,
